source,edge,target,sentence,edge-comments,label
Crystal Downing,wrote,vaccines are not safe,Crystal Downing wrote vaccines are not safe,,neg
hepatitis B risk factors,are,IV drug abusers,hepatitis B risk factors are IV drug abusers,,neg
CDC,has been shunning for a very long time correlation between thimerosal and,neurological disorders,CDC has been shunning for a very long time correlation between thimerosal and neurological disorders,,neg
whooping cough,is an example of serious,childhood disease,whooping cough is an example of serious childhood disease,,pos
trace amounts of thimerosal,differently affect,children,trace amounts of thimerosal differently affect children,,neg
preservative,in vaccine causes,autism,preservative in vaccine causes autism,,neg
Ben Allen,altered SB 277 with,proposed restrictions,Ben Allen altered SB 277 with proposed restrictions,to make it possible for multiple families to join in home-schooling unvaccinated children,neu
medical science,says the evidence is clear,measles vaccine is safe,medical science says the evidence is clear measles vaccine is safe,,neu
International Business Times,reports about,Peter Todd,International Business Times reports about Peter Todd,,neg
people,more than 500 million have died as a result of,deliberate release of pathogens,people more than 500 million have died as a result of deliberate release of pathogens,last century,neg
religious groups,in support of vaccination include,Catholics,religious groups in support of vaccination include Catholics,,pos
vaccine abuse,continues to show the importance of,parental right,vaccine abuse continues to show the importance of parental right,,neg
vaccines,are,ineffective,vaccines are ineffective,vaccines do not work,neg
caregivers,parents should encourage to receive,Tdap vaccine,caregivers parents should encourage to receive Tdap vaccine,at least 2 weeks before meeting baby,pos
state level,government to seize at gunpoint,custody of children,state level government to seize at gunpoint custody of children,vaccine industry wants,neg
young doctors,prefer to work with parents as,partners,young doctors prefer to work with parents as partners,in making personalized vaccine decisions,neg
pertussis vaccine,linked to increase in U.S.,cases,pertussis vaccine linked to increase in U.S. cases,,neu
group of top government scientists and health officials,did not take every precaution to protect,public health,group of top government scientists and health officials did not take every precaution to protect public health,,neg
mercury,elimination requests denied by,vaccine industry,mercury elimination requests denied by vaccine industry,,neg
NVIC,is,non-profit charity,NVIC is non-profit charity,,neg
polio vaccination effort,some Muslim fundamentalists believe is,sterilization attempt,polio vaccination effort some Muslim fundamentalists believe is sterilization attempt,"in Afghanistan, Nigeria, Pakistan",pos
vaccinated children,who are most heavily-vaccinated all the time get,sick,vaccinated children who are most heavily-vaccinated all the time get sick,,neg
infection,can provide a robust,herd immunity,infection can provide a robust herd immunity,against subsequent epidemics,pos
tax dollars,they spend on,top secret biological programs,tax dollars they spend on top secret biological programs,,neg
orthodox Hasidic Jews,some have participated in trials for,hepatitis A vaccine,orthodox Hasidic Jews some have participated in trials for hepatitis A vaccine,,pos
cervical dysplasia,tends to be earliest signs of,HPV infection,cervical dysplasia tends to be earliest signs of HPV infection,,pos
herd mentality,expects people to ask no honest,questions,herd mentality expects people to ask no honest questions,,neg
vaccine debate,is,polarized area,vaccine debate is polarized area,said Renee Gentry,neu
Gardasil 4,protects against 4 strains,HPV,Gardasil 4 protects against 4 strains HPV,human papillomavirus,pos
environmental factors,also have to play a role,autism,environmental factors also have to play a role autism,,pos
MMR vaccine,link does not exist to,autism,MMR vaccine link does not exist to autism,,pos
Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,cognitive disorders,Dwoskin Family Foundation has funded efforts focused on finding in children and older adults the causes of cognitive disorders,,neu
autism,remains,challenge,autism remains challenge,,pos
diabetes deaths,1.26 million each year yet they're still pushing in school lunches,high fructose corn syrup,diabetes deaths 1.26 million each year yet they're still pushing in school lunches high fructose corn syrup,in school lunches,neg
lemming society,is where public is told to,obey the government,lemming society is where public is told to obey the government,,neg
California's vaccine violence,is,SB 277,California's vaccine violence is SB 277,,neg
risks of autism,associated with,vaccine preservative,risks of autism associated with vaccine preservative,,neg
anti-vaccination website,has someone looking to make a buck selling,nutritional supplements,anti-vaccination website has someone looking to make a buck selling nutritional supplements,says Dr. Mark Schleiss,pos
monosodium glutamate,when injected can cause,brain damage,monosodium glutamate when injected can cause brain damage,,neg
meningococcal disease,people can be,carrier,meningococcal disease people can be carrier,,pos
hepatitis B vaccine,little to no protection to real,risks,hepatitis B vaccine little to no protection to real risks,,neg
cervical cancer,typically strikes in 40s or 50s,women,cervical cancer typically strikes in 40s or 50s women,,pos
vaccine industry,instead of making vaccines safer engages in,deceitful social engineering,vaccine industry instead of making vaccines safer engages in deceitful social engineering,,neg
homeopathy,would be interesting to know impact on,measles,homeopathy would be interesting to know impact on measles,,neg
Gardasil injuries,common frustration in trying to receive,settlement,Gardasil injuries common frustration in trying to receive settlement,,neg
JAMA study,should end once and for all,vaccine debate,JAMA study should end once and for all vaccine debate,,pos
people,are told that,vaccines are safe,people are told that vaccines are safe,by media and health authorities,neg
religious groups,in support of vaccination include,Jehovah's Witnesses,religious groups in support of vaccination include Jehovah's Witnesses,,pos
antibiotics,CDC openly admits still used in,vaccines,antibiotics CDC openly admits still used in vaccines,CDC openly admits,neg
meningococcal disease,most cases appear to be random and aren't linked to other,cases,meningococcal disease most cases appear to be random and aren't linked to other cases,,pos
United States,has a fascination with believing that,"if a little is good, a lot must be better","United States has a fascination with believing that if a little is good, a lot must be better",,neg
